id,title,release_date,recent_reviews,all_reviews,price,developers,number_languages,compatible_os,tags
917920,The Other Half,"2 Nov, 2018","['85', '75']","['85', '75']","['6,59']",['Studio Egg Roll'],1,3,"['Adventure', 'Action', 'Indie', 'RPG', 'Violent', 'SexualContent', 'Gore', 'Top-Down', 'DarkFantasy', 'Demons', 'Singleplayer', 'Atmospheric', 'Post-apocalyptic', 'PsychologicalHorror', 'Minimalist', '2D', 'GreatSoundtrack', 'Action-Adventure', 'Stylized', 'Narration']"
665180,Dark Elf,"3 Aug, 2017","['96', '55', '30']","['89', '4,651']","['3,99']",['ONEONE1'],3,1,"['SexualContent', 'Nudity', 'Mature', 'Anime', 'RPGMaker', 'RPG', 'FemaleProtagonist', 'Hentai', 'Adventure', 'NSFW', 'Indie', 'Singleplayer', 'VisualNovel', 'JRPG', 'Gore', 'StoryRich', 'Cute', 'DatingSim', 'Horror', 'FPS']"
1014280,The Devil's Calculator,"28 Jan, 2019","['94', '50']","['94', '50']","['2,39']",['Christopher Cinq-Mars Jarvis'],1,3,"['Puzzle', 'Indie', 'Logic', 'Experimental', 'Education', 'Casual', 'Strategy', 'Hacking', 'Cartoony', 'Hand-drawn', 'Tutorial', 'Singleplayer', 'Multiplayer']"
726840,City Game Studio: a tycoon about game dev,"21 Feb, 2019","['93', '29', '30']","['88', '759']","['15,99']",['Binogure Studio'],9,3,"['Management', 'GameDevelopment', 'Economy', 'Sandbox', 'Moddable', '2D', 'Capitalism', 'ReplayValue', 'Building', 'Isometric', 'ResourceManagement', 'ImmersiveSim', 'CityBuilder', 'Programming', 'Cartoony', 'Casual', 'Simulation', 'Strategy', 'Indie', 'Singleplayer']"
91900,Post Apocalyptic Mayhem,"17 Mar, 2011","['88', '745']","['88', '745']","['9,99']",['Steel Monkeys'],7,1,"['Racing', 'Action', 'Post-apocalyptic', 'Multiplayer', 'Arcade', 'Destruction', 'Controller', 'GreatSoundtrack', 'CombatRacing', 'VehicularCombat', 'Funny', 'Singleplayer']"
1690,Space Empires V,"16 Oct, 2006","['70', '338']","['70', '338']","['19,99']",['Malfador Machinations'],1,1,"['Strategy', '4X', 'Space', 'Turn-Based', 'Sci-fi', 'Singleplayer', 'Turn-BasedStrategy', 'Multiplayer']"
717190,Super Dungeon Master Ace RPG,"15 Oct, 2017","['80', '41']","['80', '41']",[],['Dave Gumble'],1,1,"['RPG', 'Indie', 'Casual', 'Action', 'Adventure', 'DungeonCrawler', 'FreetoPlay', 'RPGMaker', 'Top-Down', 'Singleplayer', 'PixelGraphics', 'Retro', 'Strategy', 'Classic', 'Fantasy', 'HackandSlash', 'Simulation', 'GreatSoundtrack', 'Arcade', 'Exploration']"
589690,Queen's Quest 3: The End of Dawn,"27 Apr, 2017","['71', '63']","['71', '63']","['7,99']",['Brave Giant LTD'],9,3,"['Casual', 'Adventure', 'HiddenObject', 'Puzzle', 'Point&Click', 'FemaleProtagonist', 'Singleplayer', 'StoryRich', 'Fantasy', 'GreatSoundtrack', 'Horror', 'Indie', 'Atmospheric', 'FamilyFriendly', 'Mystery', '2D']"
214590,Fairy Bloom Freesia,"17 Oct, 2012","['91', '546']","['91', '546']","['7,99']",['Edelweiss'],2,1,"['Anime', 'Action', ""Beat'emup"", 'Indie', 'FemaleProtagonist', 'Cute', 'Platformer', 'CharacterActionGame', 'HackandSlash', 'Fighting', 'JRPG', 'RPG', 'Singleplayer', 'SideScroller']"
491720,Nary,"2 Aug, 2016","['85', '14']","['85', '14']","['1,59']",['Khud0'],2,1,"['SideScroller', 'ActionRoguelike', 'PrecisionPlatformer', '2DPlatformer', 'Runner', 'Roguelite', 'CharacterActionGame', 'Platformer', 'Fighting', 'Experimental', 'Roguelike', '2D', 'ProceduralGeneration', 'Action', 'Minimalist', 'PixelGraphics', 'ScoreAttack', 'Retro', 'Singleplayer', 'Controller']"
